Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
   79200, 58281.91838368667,  -3746.570217377782,   2368.553925029004,   5109.741487888513, -5.466300846341417661, -5.143890293405103382, -1.617924502550313230,  6767.900367914201357, 0.00076886273113727073, 0.90164044907183078933, 1.02554136712623018303, 0.58370887030076664737, 0.81780276798008599820,  0.857871630080223, -1.462619069487310, 398.397729462301641,  0.014015890169165
   82800, 58281.96005035334,   6099.558090499717,   2255.031380500198,  -1871.268705520197, -0.202756831930557239,  5.207251544559655903,  5.635237630512824716,  6767.896127459987268, 0.00076899247174808901, 0.90164064781546413778, 1.02568730126843766668, 0.58370886579655321784, 4.89718958328467339957, -0.280214687473208,  2.333095172977365, 390.422525743873564,  0.009449927285632
   86400, 58282.00171702000,  -3445.863146395474,  -5045.411333811320,  -2921.959595344423,  5.708253102975308348, -0.992102792270675533, -5.024504569989063963,  6767.891982211689561, 0.00076854442989370428, 0.90164092027035578670, 1.02500555713205791363, 0.58370902789934541003, 2.69902567339787743408, -0.449524126285486, -0.452648522732901, 398.466315903788313,  0.007546515050277
   90000, 58282.04338368667,  -2040.471456855623,   3674.536230872831,   5298.745477295822, -6.526752081246442740, -4.036483526333802557,  0.289427856536541954,  6767.887445009811918, 0.00076861929006095701, 0.90164111997412735332, 1.02525080976231652049, 0.58370926102698215336, 0.49784340349035292552,  0.902392733718217, -2.749433170086397, 398.309998026975393,  0.012889444869771
   93600, 58282.08505035334,   5846.354313804128,    696.753399436517,  -3338.904316231887,  1.982365746655961585,  5.747225765668870450,  4.682248327668068457,  6767.881365318845633, 0.00076866587562491624, 0.90164121489209134738, 1.02509960546174396043, 0.58370943106260711843, 4.57791565871358783688, -0.516835677060513,  1.310093405796344, 395.627791916408853,  0.008018335321767
   97200, 58282.12671702000,  -4854.243205030383,  -4514.936825593009,  -1380.849228372405,  4.193049170808030824, -2.737342470101861022, -5.809974302714152164,  6767.875583279212226, 0.00076829062233491481, 0.90164136518836302979, 1.02439222350262320834, 0.58370964458404078984, 2.38020492566347623836, -0.207901504242699, -1.463041528956196, 394.404748037768229,  0.008548037241797
  100800, 58282.16838368667,   -127.241818876605,   4606.918627251842,   4949.235342728667, -6.924062881938974800, -2.518571199015323450,  2.167784997672604394,  6767.870805373701681, 0.00076838251505521148, 0.90164148732500160900, 1.02494169976494317446, 0.58370984278779089140, 0.17786951548424734997,  0.824084870198211,  2.266882996917237, 396.091691317326593,  0.012299599679958
  104400, 58282.21005035334,   5000.456665698849,   -931.969557432656,  -4467.844934280414,  3.964740666806600633,  5.704284134928646968,  3.255525627753491087,  6767.863454417756894, 0.00076839672626357100, 0.90164151480471016085, 1.02439741807798097132, 0.58371005535534765062, 4.25895428922714842489, -0.722122728575919,  0.220056742045607, 401.302063291262414,  0.007297850967952
  108000, 58282.25171702000,  -5770.966879212621,  -3527.466073898837,    299.812107555693,  2.252699400851655865, -4.206002709103384425, -6.007368588711426756,  6767.855545905817450, 0.00076789828391302799, 0.90164154864368287575, 1.02392165350587938176, 0.58371022414635176845, 2.06118193073277910653,  0.043080444531676, -2.451440598655632, 392.202409726833480,  0.008917603663869
  111600, 58282.29338368667,   1798.601105347239,   5071.000427124004,   4096.845827943292, -6.617734375654073174, -0.744760634461311614,  3.825797908631141416,  6767.849218052094710, 0.00076805532330488831, 0.90164158369852491232, 1.02456029446045888520, 0.58371030582511528083, 6.14117793942978090370,  0.654382176206733,  1.110261479753234, 392.449052957114191,  0.013609185837999
